state,act_2017_participation,act_2017_composite,act_2018_participation,act_2018_composite,act_2019_participation,act_2019_composite,sat_2017_participation,sat_2017_ebrw,sat_2017_math,sat_2017_total,sat_2018_participation,sat_2018_ebrw,sat_2018_math,sat_2018_total,sat_2019_participation,sat_2019_ebrw,sat_2019_math,sat_2019_total
Alabama,1.0,19.2,1.0,19.1,1.0,18.9,0.05,593,572,1165,0.06,595,571,1166,0.07,583,560,1143
Alaska,0.65,19.8,0.33,20.8,0.38,20.1,0.38,547,533,1080,0.43,562,544,1106,0.41,556,541,1097
Arizona,0.62,19.7,0.66,19.2,0.73,19.0,0.3,563,553,1116,0.29,577,572,1149,0.31,569,565,1134
Arkansas,1.0,19.4,1.0,19.4,1.0,19.3,0.03,614,594,1208,0.05,592,576,1169,0.06,582,559,1141
California,0.31,22.8,0.27,22.7,0.23,22.6,0.53,531,524,1055,0.6,540,536,1076,0.63,534,531,1065
Colorado,1.0,20.8,0.3,23.9,0.27,23.8,0.11,606,595,1201,1.0,519,506,1025,1.0,518,506,1024
Connecticut,0.31,25.2,0.26,25.6,0.22,25.5,1.0,530,512,1041,1.0,535,519,1053,1.0,529,516,1046
Delaware,0.18,24.1,0.17,23.8,0.13,24.1,1.0,503,492,996,1.0,505,492,998,1.0,499,486,985
District of Columbia,0.32,24.2,0.32,23.6,0.32,23.5,1.0,482,468,950,0.92,497,480,977,0.94,495,480,975
Florida,0.73,19.8,0.66,19.9,0.54,20.1,0.83,520,497,1017,0.56,550,549,1099,1.0,516,483,999
Georgia,0.55,21.4,0.53,21.4,0.49,21.4,0.61,535,515,1050,0.7,542,522,1064,0.71,538,519,1058
Hawaii,0.9,19.0,0.89,18.9,0.8,19.0,0.55,544,541,1085,0.56,480,530,1010,0.54,550,550,1100
Idaho,0.38,22.3,0.36,22.3,0.31,22.5,0.93,513,493,1005,1.0,508,493,1001,1.0,505,488,993
Illinois,0.93,21.4,0.43,23.9,0.35,24.3,0.09,559,556,1115,0.99,513,506,1019,1.0,509,504,1013
Indiana,0.35,22.6,0.32,22.5,0.29,22.5,0.63,542,532,1074,0.63,542,532,1074,0.66,543,537,1080
Iowa,0.67,21.9,0.68,21.8,0.66,21.6,0.02,641,635,1275,0.03,634,631,1265,0.03,622,622,1244
Kansas,0.73,21.7,0.71,21.6,0.72,21.2,0.04,632,628,1260,0.04,633,631,1265,0.04,618,623,1241
Kentucky,1.0,20.0,1.0,20.2,1.0,19.8,0.04,631,616,1247,0.04,630,618,1248,0.04,620,612,1232
Louisiana,1.0,19.5,1.0,19.2,1.0,18.8,0.04,611,586,1198,0.04,615,595,1210,0.05,610,591,1200
Maine,0.08,24.3,0.07,24.0,0.06,24.3,0.95,513,499,1012,0.99,512,501,1013,0.99,512,502,1013
Maryland,0.28,23.6,0.31,22.5,0.28,22.3,0.69,536,52,1060,0.76,545,535,1080,0.82,535,523,1058
Massachusetts,0.29,25.4,0.25,25.5,0.21,25.5,0.76,555,551,1107,0.8,562,563,1125,0.81,559,561,1120
Michigan,0.29,24.1,0.22,24.2,0.19,24.4,1.0,509,495,1005,1.0,511,499,1011,1.0,507,496,1003
Minnesota,1.0,21.5,0.99,21.3,0.95,21.4,0.03,644,651,1295,0.04,643,655,1298,0.04,636,648,1284
Mississippi,1.0,18.6,1.0,18.6,1.0,18.4,0.02,634,607,1242,0.03,630,606,1236,0.03,628,608,1237
Missouri,1.0,20.4,1.0,20.0,0.82,20.8,0.03,640,631,1271,0.04,633,629,1262,0.04,622,615,1236
Montana,1.0,20.3,1.0,20.0,1.0,19.8,0.1,605,591,1196,0.1,606,592,1198,0.09,603,596,1199
Nebraska,0.84,21.4,1.0,20.1,1.0,20.0,0.03,629,625,1253,0.03,629,623,1252,0.03,628,631,1260
Nevada,1.0,17.8,1.0,17.7,1.0,17.9,0.26,563,553,1116,0.23,574,566,1140,0.2,580,576,1156
New Hampshire,0.18,25.5,0.16,25.1,0.14,25.0,0.96,532,520,1052,0.96,535,528,1063,0.95,533,526,1059
New Jersey,0.34,23.9,0.31,23.7,0.25,24.2,0.7,530,526,1056,0.82,547,547,1094,0.82,544,545,1090
New Mexico,0.66,19.7,0.67,19.4,0.63,19.3,0.11,577,561,1138,0.16,552,540,1093,0.18,543,530,1073
New York,0.31,24.2,0.27,24.5,0.22,24.5,0.67,528,523,1052,0.79,534,534,1068,0.79,531,533,1064
North Carolina,1.0,19.1,1.0,19.1,1.0,19.0,0.49,546,535,1081,0.52,554,543,1098,0.51,554,546,1100
North Dakota,0.98,20.3,0.98,20.3,0.96,19.9,0.02,635,621,1256,0.02,640,643,1283,0.02,627,636,1263
Ohio,0.75,22.0,1.0,20.3,1.0,20.0,0.12,578,570,1149,0.18,552,547,1099,0.19,550,548,1097
Oklahoma,1.0,19.4,1.0,19.3,1.0,18.9,0.07,530,517,1047,0.08,541,521,1062,0.22,490,472,963
Oregon,0.4,21.8,0.42,21.3,0.42,21.1,0.43,560,548,1108,0.48,564,553,1117,0.51,562,550,1112
Pennsylvania,0.23,23.7,0.2,23.5,0.17,23.6,0.65,540,531,1071,0.7,547,539,1086,0.7,545,537,1082
Rhode Island,0.21,24.0,0.15,24.2,0.12,24.7,0.71,539,524,1062,0.97,513,505,1018,1.0,503,492,995
South Carolina,1.0,18.7,1.0,18.3,0.78,18.8,0.5,543,521,1064,0.55,547,523,1070,0.68,526,504,1030
South Dakota,0.8,21.8,0.77,21.9,0.75,21.6,0.03,612,603,1216,0.03,622,618,1240,0.03,633,635,1268
Tennessee,1.0,19.8,1.0,19.6,1.0,19.4,0.05,623,604,1228,0.06,624,607,1231,0.07,618,602,1220
Texas,0.45,20.7,0.45,20.7,0.39,20.5,0.62,513,507,1020,0.66,520,512,1032,0.68,515,507,1022
Utah,1.0,20.3,1.0,20.4,1.0,20.3,0.03,624,614,1238,0.04,480,530,1010,0.04,614,615,1230
Vermont,0.29,23.6,0.24,24.1,0.2,24.1,0.6,562,551,1114,0.64,565,554,1120,0.66,560,546,1106
Virginia,0.29,23.8,0.24,23.9,0.21,24.0,0.65,561,541,1102,0.68,567,550,1117,0.68,567,551,1119
Washington,0.29,21.9,0.24,22.2,0.24,22.1,0.64,541,534,1075,0.69,543,538,1081,0.7,539,535,1074
West Virginia,0.69,20.4,0.65,20.3,0.49,20.8,0.14,558,528,1086,0.28,513,486,999,0.99,483,460,943
Wisconsin,1.0,20.5,1.0,20.5,1.0,20.3,0.03,642,649,1291,0.03,641,653,1294,0.03,635,648,1283
Wyoming,1.0,20.2,1.0,20.0,1.0,19.8,0.03,626,604,1230,0.03,633,625,1257,0.03,623,615,1238
