id,overall_qual,year_built,year_remod/add,mas_vnr_area,exter_qual,bsmtfin_sf_1,total_bsmt_sf,1st_flr_sf,gr_liv_area,full_bath,kitchen_qual,totrms_abvgrd,fireplaces,garage_cars,garage_area,saleprice,lifespan,foundation_BrkTil,foundation_CBlock,foundation_PConc,foundation_Slab,foundation_Stone,foundation_Wood,mas_vnr_type_BrkCmn,mas_vnr_type_BrkFace,mas_vnr_type_None,mas_vnr_type_Stone
109,6,1976,2005,289.0,2,533.0,725.0,725,1479,2,2,6,0,2.0,475.0,130500,34,0,1,0,0,0,0,0,1,0,0
544,7,1996,1997,132.0,2,637.0,913.0,913,2122,2,2,8,1,2.0,559.0,220000,13,0,0,1,0,0,0,0,1,0,0
153,5,1953,2007,0.0,1,731.0,1057.0,1057,1057,1,2,5,0,1.0,246.0,109000,57,0,1,0,0,0,0,0,0,1,0
318,5,2006,2007,0.0,1,0.0,384.0,744,1444,2,1,7,0,2.0,400.0,174000,4,0,0,1,0,0,0,0,0,1,0
255,6,1900,1993,0.0,1,0.0,676.0,831,1445,2,1,6,0,2.0,484.0,138500,110,0,0,1,0,0,0,0,0,1,0
138,6,1966,2002,0.0,2,247.0,1517.0,1888,1888,2,2,6,1,2.0,578.0,190000,44,0,1,0,0,0,0,0,0,1,0
2827,6,2005,2006,82.0,1,547.0,547.0,1072,1072,2,1,5,0,2.0,525.0,140000,1,0,0,1,0,0,0,0,1,0,0
145,5,1959,1959,180.0,1,1000.0,1188.0,1188,1188,1,1,6,0,2.0,531.0,142000,51,0,1,0,0,0,0,0,1,0,0
1942,5,1952,1952,0.0,1,292.0,924.0,924,924,1,1,6,0,1.0,420.0,112500,55,0,1,0,0,0,0,0,0,1,0
1956,5,1969,1969,192.0,1,650.0,1040.0,1040,2080,1,0,9,2,2.0,504.0,135000,38,0,0,1,0,0,0,0,1,0,0
1044,6,1971,1971,232.0,1,387.0,483.0,483,987,1,1,4,0,1.0,264.0,85400,37,0,1,0,0,0,0,0,1,0,0
2752,7,2005,2005,0.0,2,393.0,1208.0,1208,1208,2,2,6,0,2.0,632.0,183600,1,0,0,1,0,0,0,0,0,1,0
807,5,1880,2007,0.0,2,0.0,0.0,1288,2016,1,1,7,1,2.0,576.0,131000,129,0,0,1,0,0,0,0,0,1,0
1177,8,1999,2000,456.0,2,813.0,960.0,962,1607,2,2,7,0,2.0,480.0,200000,9,0,0,1,0,0,0,0,1,0,0
1480,7,2007,2007,0.0,2,24.0,1351.0,1361,1361,2,2,6,0,2.0,610.0,193000,1,0,0,1,0,0,0,0,0,1,0
324,5,2004,2005,0.0,1,0.0,1430.0,1430,1430,2,2,7,0,2.0,624.0,173500,6,0,0,1,0,0,0,0,0,1,0
1311,5,1916,1950,0.0,1,0.0,624.0,624,1344,1,1,7,0,3.0,513.0,98000,92,1,0,0,0,0,0,0,0,1,0
770,5,1963,1963,0.0,1,651.0,1121.0,1121,1121,1,1,5,0,2.0,480.0,139000,46,0,0,1,0,0,0,0,0,1,0
2063,6,1977,1977,148.0,1,0.0,660.0,1285,1285,1,1,7,1,2.0,528.0,143500,30,0,1,0,0,0,0,0,1,0,0
69,7,2009,2009,0.0,1,24.0,756.0,764,1547,2,2,7,0,2.0,614.0,215200,1,0,0,1,0,0,0,0,0,1,0
2062,5,1968,1968,0.0,1,492.0,894.0,894,894,1,1,5,1,2.0,450.0,129000,39,0,1,0,0,0,0,0,0,1,0
351,8,2000,2000,0.0,2,1158.0,1501.0,1659,1659,2,3,5,1,2.0,499.0,278000,9,0,0,1,0,0,0,0,0,1,0
2393,8,2005,2006,0.0,2,0.0,1209.0,1209,2253,2,3,8,1,2.0,575.0,344133,1,0,0,1,0,0,0,0,0,1,0
12,6,1992,2007,0.0,1,935.0,1168.0,1187,1187,2,1,6,0,2.0,420.0,185000,18,0,0,1,0,0,0,0,0,1,0
