id,overall_qual,year_built,year_remod/add,mas_vnr_area,exter_qual,bsmtfin_sf_1,total_bsmt_sf,1st_flr_sf,gr_liv_area,full_bath,kitchen_qual,totrms_abvgrd,fireplaces,garage_cars,garage_area,lifespan,foundation_BrkTil,foundation_CBlock,foundation_PConc,foundation_Slab,foundation_Stone,foundation_Wood,mas_vnr_type_BrkCmn,mas_vnr_type_BrkFace,mas_vnr_type_None,mas_vnr_type_Stone
2658,6,1910,1950,0.0,1,0,1020,908,1928,2,0.0,9,0,1,440,96,0,0,0,0,1,0,0,0,1,0
2718,5,1977,1977,0.0,1,0,1967,1967,1967,2,1.0,10,0,2,580,29,0,1,0,0,0,0,0,0,1,0
2414,7,2006,2006,0.0,2,554,654,664,1496,2,2.0,7,1,2,426,0,0,0,1,0,0,0,0,0,1,0
1989,5,1923,2006,0.0,2,0,968,968,968,1,1.0,5,0,2,480,84,0,1,0,0,0,0,0,0,1,0
625,6,1963,1963,247.0,1,609,1394,1394,1394,1,1.0,6,2,2,514,46,0,1,0,0,0,0,0,1,0,0
333,4,1972,1972,0.0,1,294,546,546,1092,1,1.0,5,0,1,286,38,0,1,0,0,0,0,0,0,1,0
1327,4,1958,2006,0.0,1,0,869,1093,1093,1,1.0,5,0,1,308,50,0,1,0,0,0,0,0,0,1,0
858,5,1977,1989,0.0,1,196,1268,1268,1268,1,2.0,5,0,1,252,32,0,1,0,0,0,0,0,0,1,0
95,7,2004,2004,0.0,2,0,840,840,1680,2,2.0,3,0,2,588,6,0,0,1,0,0,0,0,0,1,0
1568,6,1977,1977,0.0,1,641,1196,1279,1279,2,1.0,6,2,2,473,31,0,1,0,0,0,0,0,0,1,0
2482,6,1991,1991,0.0,2,278,1217,1217,1217,2,2.0,5,0,2,484,15,0,0,1,0,0,0,0,0,1,0
1364,6,1925,1992,0.0,1,0,1040,1040,1040,1,1.0,5,0,2,320,83,0,1,0,0,0,0,0,0,1,0
